"Site.Name","Escape.ID","Operator.at.Time.of.Escape","Escape.Water.Type","Escape.Start.Date","Escape.Start.Time","Escaped.Species","Stage","Age","Average.Weight","Initial.Escape.Reason","Final.Number.Escaped","Final.Number.Recovered","Marine.Scotland.Site.ID","Date.Registered","Local.Authority","Producing.in.Last.3.Years","Site.Post.Code","Health.Surveillance","MS.Management.Area","Species","Total.number.escaped","year","month","c2","c3","c4","c5","c6","c7"
"ardyne",2000375,"murray seafoods ltd.","s",1998-07-01,NA,"atlantic salmon","grower fish (salmon only)",15,3172,"hole in net - hol",30000,0,"fs0559",1985-10-16,"argyll and bute","yes","pa23 7uj","medium","19b - kyles of bute","lumpsucker, atlantic salmon, wrasse",30000,1998,9,0.977,0.165,0.599878,0.019268953,0.098810303,0.115363434
"ardyne",2000375,"murray seafoods ltd.","s",1998-07-01,NA,"atlantic salmon","grower fish (salmon only)",15,3172,"hole in net - hol",30000,0,"fs0559",1985-10-16,"argyll and bute","yes","pa23 7uj","medium","19b - kyles of bute","lumpsucker, atlantic salmon, wrasse",30000,1999,9,1.455,0.209,1.273125,0.017812369,0.149243441,0.243066203
"ardyne",2000375,"murray seafoods ltd.","s",1998-07-01,NA,"atlantic salmon","grower fish (salmon only)",15,3172,"hole in net - hol",30000,0,"fs0559",1985-10-16,"argyll and bute","yes","pa23 7uj","medium","19b - kyles of bute","lumpsucker, atlantic salmon, wrasse",30000,1998,7,1.838,0.369,1.251678,0.017434809,0.104375452,0.22388726
"ardyne",2000375,"murray seafoods ltd.","s",1998-07-01,NA,"atlantic salmon","grower fish (salmon only)",15,3172,"hole in net - hol",30000,0,"fs0559",1985-10-16,"argyll and bute","yes","pa23 7uj","medium","19b - kyles of bute","lumpsucker, atlantic salmon, wrasse",30000,2005,1,1.371,0.276,1.030992,0.018463895,0.0878563,0.145764987
"ardyne",2000072,"murray seafoods ltd","s",2005-01-24,"12:00","atlantic salmon","grower fish (salmon only)",15,15,"hole in net - hol",22500,5,"fs0559",1985-10-16,"argyll and bute","yes","pa23 7uj","medium","19b - kyles of bute","atlantic salmon, lumpsucker, wrasse",22495,2006,7,1.278,0.08,0.77958,0.01785064,0.116808745,0.172094694
"ardyne",2000072,"murray seafoods ltd","s",2005-01-24,"12:00","atlantic salmon","grower fish (salmon only)",15,15,"hole in net - hol",22500,5,"fs0559",1985-10-16,"argyll and bute","yes","pa23 7uj","medium","19b - kyles of bute","atlantic salmon, lumpsucker, wrasse",22495,1998,9,0.977,0.165,0.599878,0.019268953,0.098810303,0.115363434
"ardyne",2000072,"murray seafoods ltd","s",2005-01-24,"12:00","atlantic salmon","grower fish (salmon only)",15,15,"hole in net - hol",22500,5,"fs0559",1985-10-16,"argyll and bute","yes","pa23 7uj","medium","19b - kyles of bute","atlantic salmon, lumpsucker, wrasse",22495,1999,9,1.455,0.209,1.273125,0.017812369,0.149243441,0.243066203
"ardyne",2000072,"murray seafoods ltd","s",2005-01-24,"12:00","atlantic salmon","grower fish (salmon only)",15,15,"hole in net - hol",22500,5,"fs0559",1985-10-16,"argyll and bute","yes","pa23 7uj","medium","19b - kyles of bute","atlantic salmon, lumpsucker, wrasse",22495,1998,7,1.838,0.369,1.251678,0.017434809,0.104375452,0.22388726
"ardyne",2000072,"murray seafoods ltd","s",2005-01-24,"12:00","atlantic salmon","grower fish (salmon only)",15,15,"hole in net - hol",22500,5,"fs0559",1985-10-16,"argyll and bute","yes","pa23 7uj","medium","19b - kyles of bute","atlantic salmon, lumpsucker, wrasse",22495,2005,1,1.371,0.276,1.030992,0.018463895,0.0878563,0.145764987
"ardyne",2000129,"murray seafoods ltd","s",2006-07-28,NA,"atlantic salmon","grower fish (salmon only)",15,3400,"human error - hum",2981,0,"fs0559",1985-10-16,"argyll and bute","yes","pa23 7uj","medium","19b - kyles of bute","wrasse, atlantic salmon, lumpsucker",2981,2006,7,1.278,0.08,0.77958,0.01785064,0.116808745,0.172094694
